Deal - Organization,Deal - Value,Deal - Status,Deal - Stage,Deal - Deal closed on,Deal - Deal created,Deal - Lead Source,Organization - Address,Organization - Num Client A3,Organization - Tipologia Client,CENTROCOSTE3
Escola Vedruna-Balaguer,"1,805.16 EUR",Lost,Proposal Accepted,2018-02-09 13:08:01,2017-09-28 13:55:26,,"Carrer del Pare Sanahüja, 39, 25600 Balaguer, Lleida",0,Escoles,14110
COL·LEGI MONTESSORI-PALAU,"10,000.00 EUR",Lost,Contact Made,2018-10-01 12:33:40,2018-03-13 19:31:06,,,,Escoles,14130
THE BRITISH SCHOOL BARCELONA,0.00 EUR,Lost,New Leads,2018-08-21 10:19:50,2017-05-14 10:44:51,,"C/ GINESTA, 26, CASTELLDEFELS",7,Escoles,14130
Bell-Lloc del Pla,498.29 EUR,Won,Proposal Presented,2017-06-26 12:07:21,2017-03-06 13:01:43,,"Bell-lloc Del Pla, Carrer Can Pau Birol, Girona, Spain",11,Escoles,14110
Bell-Lloc del Pla,403.81 EUR,Won,Proposal Presented,2018-02-05 17:56:05,2018-01-31 16:26:19,,"Bell-lloc Del Pla, Carrer Can Pau Birol, Girona, Spain",11,Escoles,14110
Bell-Lloc del Pla,436.85 EUR,Lost,Proposal Presented,2018-05-04 12:23:44,2018-02-07 11:35:02,,"Bell-lloc Del Pla, Carrer Can Pau Birol, Girona, Spain",11,Escoles,14110
Bell-Lloc del Pla,0.00 EUR,Lost,Contact Made,2018-08-21 10:28:56,2018-04-09 17:01:59,,"Bell-lloc Del Pla, Carrer Can Pau Birol, Girona, Spain",11,Escoles,14130
Bell-Lloc del Pla,"39,000.00 EUR",Lost,Proposal Presented,2018-06-04 10:50:24,2018-05-04 12:24:25,,"Bell-lloc Del Pla, Carrer Can Pau Birol, Girona, Spain",11,Escoles,14130
Bell-Lloc del Pla,"3,265.05 EUR",Won,Proposal Accepted,2018-07-05 17:09:03,2018-06-04 10:50:43,,"Bell-lloc Del Pla, Carrer Can Pau Birol, Girona, Spain",11,Escoles,14110
"ESTUDIO AGORA, S.A.","2,312.91 EUR",Lost,Proposal Presented,2017-11-06 17:24:22,2017-06-29 08:59:51,,"C/ FERRER I GUARDIA S/N, SANT CUGAT DEL VALLÉS",12,Escoles,14110
COLEGIO DE FOMENTO ALDOVEA,"2,005.12 EUR",Lost,Proposal Accepted,2017-12-11 10:08:50,2017-09-11 11:20:01,,"PS. DE ALCOBENDAS, 3, LA MORALEJA",14,Escoles,14110
"SEK CIUDALCAMPO, S.L.","8,074.63 EUR",Lost,Proposal Presented,2017-07-25 09:26:42,2017-06-09 11:02:46,,"PASEO DE LAS PERDICES, 2 URB. CIUDALCAMPO, SAN SEBASTIAN DE LOS REYE",41,Escoles,14110
"SEK CIUDALCAMPO, S.L.","4,237.58 EUR",Lost,Proposal Presented,2018-06-21 16:27:13,2018-06-07 13:41:48,,"PASEO DE LAS PERDICES, 2 URB. CIUDALCAMPO, SAN SEBASTIAN DE LOS REYE",41,Escoles,14110
"SEK SANTA ISABEL, S.L","1,235.03 EUR",Won,Proposal Presented,2017-08-23 12:00:45,2017-06-14 16:06:06,,"C/ SAN ILDEFONSO, 18, MADRID",42,Escoles,14110
"SEK SANTA ISABEL, S.L","1,715.76 EUR",Lost,Proposal Presented,2018-08-28 11:28:51,2018-05-14 12:16:31,,"C/ SAN ILDEFONSO, 18, MADRID",42,Escoles,14110
ESCUELA LICEO EUROPEO,"2,536.67 EUR",Lost,Proposal Accepted,2018-07-11 14:36:15,2018-04-25 11:03:42,,"CAMINO DEL SUR, 10-12, ALCOBENDAS",45,Escoles,14110
"INSTITUCIO FAMILIAR D'EDUCACIO, SA  (COL·LEGI LA FARGA)","34,000.00 EUR",Lost,Proposal Accepted,2017-06-30 14:23:01,2017-03-09 16:08:40,,"CAMÍ SANT CUGAT PAPIOL, 34, MIRASOL",51,Escoles,14130
"INSTITUCIO FAMILIAR D'EDUCACIO, SA  (COL·LEGI LA FARGA)",135.84 EUR,Won,Proposal Presented,2017-10-02 16:59:54,2017-09-29 17:19:53,,"CAMÍ SANT CUGAT PAPIOL, 34, MIRASOL",51,Escoles,14110
"INSTITUCIO FAMILIAR D'EDUCACIO, SA  (COL·LEGI LA FARGA)",484.29 EUR,Won,Proposal Presented,2018-06-28 16:22:26,2018-04-27 13:28:30,,"CAMÍ SANT CUGAT PAPIOL, 34, MIRASOL",51,Escoles,14130
INSTITUCIÓ CULTURAL CIC-Escola Thau Barcelona,540.00 EUR,Won,Proposal Presented,2017-11-27 16:35:27,2017-06-08 09:37:10,,"AVDA.ESPLUGUES, 49-53, BARCELONA",70,Escoles,14120
INSTITUCIÓ CULTURAL CIC-Escola Thau Barcelona,"1,000.00 EUR",Lost,Meeting organized,2017-11-10 11:05:20,2017-06-20 10:36:14,,"AVDA.ESPLUGUES, 49-53, BARCELONA",70,Escoles,14110
INSTITUT INFANTA ISABEL D'ARAGÓ,"5,228.00 EUR",Won,Proposal Presented,2017-05-15 12:23:52,2017-03-05 16:50:48,,"PLAÇA ANGELETA FERRER, 1, BARCELONA",837,Escoles,14110
INSTITUCIÓ CULTURAL CIC-Escola Thau Barcelona,415.00 EUR,Lost,Proposal Presented,2018-04-20 09:47:02,2018-02-01 09:54:44,,"AVDA.ESPLUGUES, 49-53, BARCELONA",70,Escoles,14130
SAGRAT COR SARRIA,"2,266.09 EUR",Won,Proposal Presented,2017-07-03 09:26:40,2017-03-09 11:17:37,,"C/ SAGRAT COR, 25, BARCELONA",81,Escoles,14110
SAGRAT COR SARRIA,184.47 EUR,Won,Proposal Presented,2017-07-07 14:08:41,2017-07-07 14:08:11,,"C/ SAGRAT COR, 25, BARCELONA",81,Escoles,14110
SAGRAT COR SARRIA,815.04 EUR,Won,Proposal Presented,2017-11-20 09:14:35,2017-11-16 13:22:08,,"C/ SAGRAT COR, 25, BARCELONA",81,Escoles,14110
SAGRAT COR SARRIA,320.90 EUR,Won,Proposal Presented,2017-12-05 10:26:09,2017-12-01 08:44:15,,"C/ SAGRAT COR, 25, BARCELONA",81,Escoles,14110
SAGRAT COR SARRIA,264.57 EUR,Won,Proposal Presented,2017-12-14 11:24:14,2017-12-11 11:03:52,,"C/ SAGRAT COR, 25, BARCELONA",81,Escoles,14110
SAGRAT COR SARRIA,"1,319.40 EUR",Won,Proposal Accepted,2018-07-17 12:32:56,2018-04-12 09:47:50,,"C/ SAGRAT COR, 25, BARCELONA",81,Escoles,14130
FUNDACIÓ JESUÏTES EDUCACIO - SARRIÀ,481.75 EUR,Won,Proposal Presented,2017-07-06 15:10:03,2017-03-27 13:05:50,,"CARRER CARRASCO I FORMIGUERA 32, BARCELONA",101,Escoles,14110
FUNDACIÓ JESUÏTES EDUCACIO - SARRIÀ,"3,419.43 EUR",Won,Proposal Presented,2018-06-18 13:45:31,2018-06-04 15:44:53,,"CARRER CARRASCO I FORMIGUERA 32, BARCELONA",101,Escoles,14110
Col·legi Xaloc,398.98 EUR,Won,Proposal Presented,2017-07-14 13:43:04,2017-07-12 09:23:24,,"Col·legi Xaloc, Carrer Can Tries, Barcelona, Spain",103,Escoles,14110
ESCOLA PETIT ESTEL - LA NOVA SL,"9,408.00 EUR",Lost,Proposal Presented,2017-09-07 19:07:26,2017-05-24 13:31:04,,"C/ PUIG NOVELL, 18-33, TERRASSA",104,Escoles,14110
FUNDACIO ESCOLA MOWGLI,100.00 EUR,Won,Proposal Presented,2017-05-19 09:27:27,2017-05-04 11:14:54,,"PASSEIG VERDAGUER, 134, IGUALADA",105,Escoles,14120
FUNDACIO ESCOLA MOWGLI,543.45 EUR,Lost,Proposal Presented,2017-10-31 08:50:11,2017-05-19 09:29:21,,"PASSEIG VERDAGUER, 134, IGUALADA",105,Escoles,14110
IES Las Lagunas,"3,932.37 EUR",Lost,Proposal Presented,2017-12-21 19:51:14,2017-11-17 01:46:21,,"Avenida de Gabriel García Márquez, Rivas-Vaciamadrid, Spain",,Escoles,14110
FEDAC HORTA,966.53 EUR,Won,Proposal Presented,2017-07-25 08:40:23,2017-07-24 13:37:42,,"C/ CAMPOAMOR, 49, BARCELONA",116,Escoles,14110
FEDAC HORTA,0.00 EUR,Lost,Contact Made,2018-12-07 13:36:54,2018-05-08 11:05:48,,"C/ CAMPOAMOR, 49, BARCELONA",116,Escoles,14110
ESCOLA ANTONIA SIMO I ARNO,"3,073.00 EUR",Won,Proposal Presented,2017-09-15 12:54:48,2017-09-13 11:56:12,,"TOSSAL DE LES CREUS S/N, ALMACELLES",120,Escoles,14110
ESCOLA LA PARELLADA,700.00 EUR,Lost,Proposal Presented,2017-10-02 17:26:05,2017-09-14 10:23:01,,"C/ JOSEP MARIA, S/N, SANTA OLIVA",130,Escoles,14110
Col·legi Sant Antoni Maria Claret,"3,582.00 EUR",Lost,Proposal Accepted,2017-11-07 12:29:25,2017-03-05 16:51:54,,"Carrer Manuel Mariné, 11, 08940 Cornellà de Llobregat, Barcelona",,Escoles,14110
FUNDACIÓN PRIVADA BENJAMIN FRANKLIN,"2,200.11 EUR",Won,Proposal Presented,2018-03-09 10:07:03,2018-02-01 11:33:06,,"MARTORELL I PEÑA 9, BARCELONA",137,Escoles,14110
ASOCIACION CULTURAL DEL COLEGIO ALEMAN SAN ALBERTO MAGNO,0.00 EUR,Lost,Meeting organized,2018-02-12 15:14:41,2017-04-06 18:11:59,,"JACINT ESTEVE I FONTANET 105, ESPLUGUES DE LLOBREGAT",138,Escoles,14110
IES JOSE LUIS SAMPEDRO,873.76 EUR,Won,Proposal Presented,2017-10-09 16:14:46,2017-10-05 14:10:54,,"AVENIDA DE LA VEGA, S/N, TRES CANTOS",147,Escoles,14110
ASSOCIACIÓ DE PARES D'ALUMNES DE L'INSTITUT DE BATXILLERAT ARNAU CADELL,333.00 EUR,Won,Proposal Presented,2017-09-15 10:27:02,2017-07-13 13:14:59,,"AVINGUDA VILLADELPRAT 91-93, SANT CUGAT DEL VALLÈS",156,Escoles,14110
ST. PETER'S SCHOOL,"1,339.90 EUR",Won,Proposal Presented,2017-09-06 13:29:11,2017-06-28 16:33:05,,"CARRER EDUARD TOLDRÀ 18, BARCELONA",158,Escoles,14110
ESCOLA VEDRUNA CARME CARDONA,559.95 EUR,Won,Proposal Presented,2017-07-18 11:39:16,2017-03-05 16:51:42,,"CARRER MARE DE DÉU DEL CARME, 1, CARDONA",161,Escoles,14110
ESCOLA MAS RAMPINYO,262.20 EUR,Won,Proposal Presented,2018-04-10 17:03:25,2018-04-06 16:25:54,,"CARRER JOAN MIRÓ 13-15, MONTCADA I REIXAC",164,Escoles,14110
INSTITUT CAN JOFRESA,"1,428.30 EUR",Won,Proposal Presented,2017-11-20 09:40:53,2017-03-05 16:51:06,,"AVINGUDA DE CAN JOFRESA, 12, TERRASSA",202,Escoles,14110
Col·legi Viaró,543.33 EUR,Won,Proposal Presented,2018-02-07 09:20:51,2018-02-05 17:22:43,,"Colegio Viaró, Sant Cugat del Vallès, Spain",213,Escoles,14110
INSTITUT JOAN MIRÓ,"1,490.92 EUR",Won,Proposal Presented,2017-06-15 13:42:25,2017-04-10 09:31:17,,"AVINGUDA MONTSERRAT S/N, CORNELLÀ DE LLOBREGAT",219,Escoles,14110
ESCOLA VEDRUNA SALLENT FPE VEDRUNA BARCELONA,"2,031.89 EUR",Won,Proposal Presented,2017-08-31 09:23:26,2017-07-11 17:42:33,,"CARRER JOAQUIMA DE VEDRUNA 2, SALLENT",236,Escoles,14110
ESCOLA VEDRUNA SALLENT FPE VEDRUNA BARCELONA,"1,755.43 EUR",Won,Proposal Presented,2018-07-12 08:39:58,2018-07-11 09:52:10,,"CARRER JOAQUIMA DE VEDRUNA 2, SALLENT",236,Escoles,14110
ESCOLA HORITZÓ FUNPIPE,257.39 EUR,Won,Proposal Presented,2017-10-10 10:04:32,2017-10-10 09:58:39,,"PASSEIG DE LA BONANOVA, 7, BARCELONA",269,Escoles,14110
ESCOLA HORITZÓ FUNPIPE,269.99 EUR,Won,Proposal Presented,2018-01-25 16:02:19,2018-01-25 16:01:15,,"PASSEIG DE LA BONANOVA, 7, BARCELONA",269,Escoles,14110
SEK ALBORAN S.L,"1,320.00 EUR",Won,Proposal Presented,2017-08-23 12:00:58,2017-06-13 13:06:00,,"C/ BARLOVENTO, S/N URB. ALMERIMAR, EL EJIDO",272,Escoles,14110
AMPA COL·LEGI VEDRUNA,76.74 EUR,Won,Proposal Presented,2017-07-19 08:40:06,2017-07-19 08:40:02,,"VALL, 21, TERRASSA",291,Escoles,14110
FEM La Mercè Sant Feliu,600.00 EUR,Won,Proposal Presented,2017-06-27 17:36:36,2017-04-28 09:15:22,,"Col•legi Mare de Déu de la Mercè, Carrer de la Verge de la Mercè, Sant Feliu de Llobregat, Spain",306,Escoles,14120
FEM La Mercè Sant Feliu,543.37 EUR,Won,Proposal Accepted,2017-09-15 15:25:32,2017-09-04 18:29:41,,"Col•legi Mare de Déu de la Mercè, Carrer de la Verge de la Mercè, Sant Feliu de Llobregat, Spain",306,Escoles,14110
FEM La Mercè Sant Feliu,380.00 EUR,Won,Proposal Presented,2017-09-15 15:25:23,2017-09-05 11:48:53,,"Col•legi Mare de Déu de la Mercè, Carrer de la Verge de la Mercè, Sant Feliu de Llobregat, Spain",306,Escoles,14110
FEM La Mercè Sant Feliu,"1,359.37 EUR",Won,Proposal Presented,2018-07-05 15:17:03,2018-04-24 11:46:05,,"Col•legi Mare de Déu de la Mercè, Carrer de la Verge de la Mercè, Sant Feliu de Llobregat, Spain",306,Escoles,14110
FUNDACIO JESUÏTES EDUCACIO - SANT GERVASI,949.93 EUR,Won,Proposal Presented,2017-11-03 17:39:27,2017-07-10 17:12:12,,CARRER DE L'AVENIR 19,323,Escoles,14110
FUNDACIO JESUÏTES EDUCACIO - SANT GERVASI,271.68 EUR,Lost,Proposal Presented,2018-01-30 13:39:01,2017-11-17 10:44:44,,CARRER DE L'AVENIR 19,323,Escoles,14110
FUNDACIO JESUÏTES EDUCACIO - SANT GERVASI,"2,618.27 EUR",Won,Proposal Presented,2017-12-13 11:33:58,2017-11-20 12:37:10,,CARRER DE L'AVENIR 19,323,Escoles,14110
ESCOLA ENXANETA,531.96 EUR,Won,Proposal Presented,2017-11-16 17:26:34,2017-10-20 12:35:49,,"C/ SOMETENT CASTELLA, 169, TERRASSA",362,Escoles,14110
CP Mediterráneo,193.98 EUR,Won,Proposal Presented,2018-02-12 11:57:08,2018-02-02 12:58:46,,"Colegio Público Mediterráneo, Pilar de la Horadada, Spain",366,Escoles,14110
CENTRO DE ENSEÑANZA RIVAS LUNA,257.39 EUR,Won,Proposal Presented,2017-10-19 13:46:13,2017-10-16 10:11:46,,"C/ DEL PINTOR EUSTAQUIO SEGRELLES, 7, ELIANA",394,Escoles,14110
FEDAC SANT FELIU,770.97 EUR,Won,Proposal Presented,2017-09-26 15:27:10,2017-09-21 16:18:38,,"BAIXA PADRÓ 12, SANT FELIU DE CODINES",402,Escoles,14110
FEDAC SANT FELIU,"4,515.95 EUR",Won,Proposal Accepted,2018-07-04 12:27:57,2018-05-08 11:06:51,,"BAIXA PADRÓ 12, SANT FELIU DE CODINES",402,Escoles,14110
"CENTRO CULTURAL PINEDA, S.A",200.00 EUR,Won,Proposal Presented,2017-05-31 10:48:10,2017-05-31 10:47:43,,"CARRER DELS JONCS 1, HOSPITALET DE LLOBREGAT",446,Escoles,14120
CASA JESUS-MARIA,0.00 EUR,Lost,Contact Made,2017-11-27 15:55:20,2017-11-15 17:13:18,,"PASSEIG SANT GERVASI, 15, BARCELONA",500,Escoles,14110
CASA JESUS-MARIA,"1,402.70 EUR",Won,Proposal Accepted,2018-07-10 17:43:22,2018-04-24 11:44:56,,"PASSEIG SANT GERVASI, 15, BARCELONA",500,Escoles,14110
COLEGIO CASA AZUL,"7,890.00 EUR",Won,Proposal Presented,2017-07-12 12:03:28,2017-06-27 16:33:20,,"C/ CASA AZUL, 1, LA OROTAVA",513,Escoles,14110
COLEGIO CASA AZUL,300.00 EUR,Won,Proposal Presented,2018-05-04 12:45:44,2018-04-23 12:26:51,,"C/ CASA AZUL, 1, LA OROTAVA",513,Escoles,14110
COLEGIO CASA AZUL,"3,821.28 EUR",Won,Proposal Accepted,2018-07-10 09:47:22,2018-06-04 13:42:05,,"C/ CASA AZUL, 1, LA OROTAVA",513,Escoles,14110
Escola Andersen (Vic),"3,400.00 EUR",Lost,Proposal Accepted,2017-11-30 13:16:02,2017-07-11 17:53:27,,"Avinguda d'Olímpia, s/n, 08500 Vic, Barcelona",0,Escoles,14110
INTERNATIONAL SCHOOL PEÑISCOLA SL,450.18 EUR,Lost,Proposal Presented,2017-09-14 11:26:18,2017-04-03 12:15:39,,"CAMÍ PEÑÍSCOLA KM3, PEÑÍSCOLA",533,Escoles,14110
ALCORAC S.L.,0.00 EUR,Lost,Contact Made,2018-09-17 12:27:09,2018-04-25 09:47:29,,"CAMINO DE LAS MANTECAS 26 (EL CHARCÓN), SAN CRISTÓBAL DE LA LAGUNA",541,Escoles,14110
BIHOTZ GAZTEA IKASTOLA,"1,208.65 EUR",Won,Proposal Presented,2017-07-04 09:14:37,2017-07-03 10:53:43,,"GRUPO SAN JUAN DE DIOS S/N, SANTURZI",542,Escoles,14110
Escola l'Horitzó,"3,000.00 EUR",Won,Proposal Presented,2017-06-22 18:04:57,2017-03-05 16:50:21,,"Passeig de la Bonanova, 7 - 08022 BARCELONA",,Escoles,14130
Col·legi Jesús Maria i Josep,"3,000.00 EUR",Lost,Meeting organized,2017-05-24 00:00:00,2017-05-17 15:31:48,,"C/Sant Sebastià, 55  08030  Barcelona",,Escoles,14001
FUNDACIÓ PRIVADA EDUCATIVA VEDRUNA ÀNGELS,90.00 EUR,Lost,Contact Made,2017-06-02 15:38:27,2017-03-05 16:51:40,,"PLAÇA DELS ÀNGELS 3, BARCELONA",552,Escoles,14120
FUNDACIÓ PRIVADA EDUCATIVA VEDRUNA ÀNGELS,135.84 EUR,Won,Proposal Presented,2017-10-02 16:59:59,2017-09-18 16:30:47,,"PLAÇA DELS ÀNGELS 3, BARCELONA",552,Escoles,14110
UNIVERSIDAD DE CASTILLA Y LA MANCHA- ESCUELA DE INGENIERÍA INDUSTRIAL,"4,462.81 EUR",Won,Proposal Presented,2017-10-27 13:06:44,2017-09-13 11:19:33,,"Avda. Carlos III, s/n, TOLEDO",560,Escoles,14110
VEDRUNA MOLLERUSSA,"15,867.00 EUR",Won,Proposal Presented,2017-06-26 08:49:06,2017-04-27 11:42:45,,"Crist Rei 5, MOLLERUSSA",595,Escoles,14110
Escola Maria Cubí i Soler,"3,000.00 EUR",Lost,Proposal Presented,2017-12-12 10:30:04,2017-05-18 16:23:15,,"Carrer dels Pirineus, 0, 08380 Malgrat de Mar, Barcelona",,Escoles,14110
COL·LEGI SALESIA SANT JOAN BOSCO,"2,266.32 EUR",Won,Proposal Presented,2018-02-22 15:40:57,2017-11-27 12:57:53,,"PASSEIG DE LA VALL D'HEBRON258, BARCELONA",606,Escoles,14110
PROYECTOS GLOBALES WERKS SL,"4,336.91 EUR",Won,Proposal Presented,2017-08-24 15:13:23,2017-08-21 13:34:15,,"AVENIDA BRASIL 17 15A, MADRID",617,Escoles,14110
PROYECTOS GLOBALES WERKS SL,"2,922.94 EUR",Won,Proposal Presented,2017-09-12 13:16:22,2017-09-12 09:38:05,,"AVENIDA BRASIL 17 15A, MADRID",617,Escoles,14110
PROYECTOS GLOBALES WERKS SL,"3,395.00 EUR",Won,Proposal Presented,2017-10-04 08:59:46,2017-10-03 12:22:10,,"AVENIDA BRASIL 17 15A, MADRID",617,Escoles,14110
PROYECTOS GLOBALES WERKS SL,"2,010.85 EUR",Won,Proposal Presented,2018-03-07 18:15:09,2018-02-26 16:30:30,,"AVENIDA BRASIL 17 15A, MADRID",617,Escoles,14110
FUNDACIÓ VEDRUNA BELLPUIG,"1,341.00 EUR",Won,Proposal Presented,2017-06-22 08:48:16,2017-06-13 12:23:39,,"CARRER CAMÍ DE CASTELLNOU, 7, BELLPUIG",619,Escoles,14110
FUNDACIÓ VEDRUNA BELLPUIG,85.00 EUR,Won,Proposal Presented,2018-02-07 09:25:00,2018-02-06 12:27:20,,"CARRER CAMÍ DE CASTELLNOU, 7, BELLPUIG",619,Escoles,14120
UNIO CENTRES PRIVATS S.L.,800.00 EUR,Won,Proposal Presented,2017-06-23 10:10:48,2017-06-13 13:54:23,,"Carrer de la Diputació, 291, Barcelona, Spain",624,Escoles,14120
UNIO CENTRES PRIVATS S.L.,"2,524.98 EUR",Won,Proposal Presented,2017-07-17 15:19:46,2017-07-07 12:03:23,,"Carrer de la Diputació, 291, Barcelona, Spain",624,Escoles,14110
UNIO CENTRES PRIVATS S.L.,81.00 EUR,Won,Proposal Presented,2017-12-14 08:50:27,2017-12-14 08:50:21,,"Carrer de la Diputació, 291, Barcelona, Spain",624,Escoles,14110
UNIO CENTRES PRIVATS S.L.,22.50 EUR,Won,Proposal Accepted,2018-01-12 13:46:03,2018-01-12 13:45:57,,"Carrer de la Diputació, 291, Barcelona, Spain",624,Escoles,14110
UNIO CENTRES PRIVATS S.L.,0.00 EUR,Lost,Meeting organized,2018-07-05 16:27:44,2018-04-24 12:33:40,,"Carrer de la Diputació, 291, Barcelona, Spain",624,Escoles,14110
FEDAC PRATS,107.00 EUR,Won,Proposal Presented,2017-10-05 09:08:04,2017-10-04 08:33:55,,"CARRER ESCOLES, 4, PRATS DE LLUÇANÈS",633,Escoles,14110
ESCOLA GOYA SL,105.00 EUR,Won,Proposal Presented,2017-09-14 08:49:47,2017-03-10 11:21:50,,"Escola Goya, Carrer del Cavall Bernat, Terrassa, Spain",635,Escoles,14110
ESCOLA BENVIURE,0.00 EUR,Lost,New Leads,2018-01-15 11:24:15,2018-01-15 11:16:10,,"CARRER CAN PAULET 1, SANT BOI DE LLOBREGAT",636,Escoles,14110
FUNDACIÓ JESUÏTES EDUCACIÓ - POBLE SEC,140.00 EUR,Won,Proposal Presented,2017-07-18 10:07:50,2017-07-10 10:03:41,,"CARRER VILÀ I VILÀ 14, BARCELONA",640,Escoles,14110
FUNDACIÓ JESUÏTES EDUCACIÓ - POBLE SEC,139.64 EUR,Won,Proposal Presented,2017-09-08 12:38:10,2017-09-06 17:26:38,,"CARRER VILÀ I VILÀ 14, BARCELONA",640,Escoles,14110
FEM COL·LEGI LA MERCED BARCELONA,116.46 EUR,Won,Proposal Presented,2017-06-08 12:55:11,2017-05-11 13:01:43,,"CARRER PROVENÇA 283, BARCELONA",642,Escoles,14110
FEM COL·LEGI LA MERCED BARCELONA,543.36 EUR,Won,Proposal Presented,2018-01-22 15:30:46,2017-11-28 08:43:48,,"CARRER PROVENÇA 283, BARCELONA",642,Escoles,14110
FEM COL·LEGI LA MERCED BARCELONA,0.00 EUR,Lost,Contact Made,2018-08-21 10:34:56,2018-04-24 11:48:03,,"CARRER PROVENÇA 283, BARCELONA",642,Escoles,14110
IES Francisco de Goya,"2,958.00 EUR",Lost,Proposal Presented,2017-05-30 11:28:24,2017-03-24 16:03:24,,"Carrer de Garriga i Roca, 21, 08032 Barcelona",,Escoles,14110
COL·LEGI VIROLAI,271.68 EUR,Won,Proposal Presented,2017-05-05 15:54:12,2017-05-04 09:33:26,,"CAMÍ ANTIC DE SANTA CREU D'OLORDA 106, MOLINS DE REI",654,Escoles,14110
SILVIA SUBIRANA PARERA,135.84 EUR,Won,Proposal Presented,2017-07-17 17:25:14,2017-07-11 16:20:00,,"CARRER MESTRE PEDRET 22 1-1, BERGA",658,Escoles,14110
ESCOLA SANTA MARIA DEL MAR,815.04 EUR,Won,Proposal Presented,2017-11-10 11:26:23,2017-10-30 17:37:02,,"CARRER JUAN MANUEL MUÑOZ 5, SALOU",659,Escoles,14110
COLEGIO BALMES SL,679.21 EUR,Won,Proposal Accepted,2017-09-28 19:39:40,2017-09-22 13:48:34,,"PLAÇA FIGUERAS, 1 BAJOS, RUBI",661,Escoles,14110
COLEGIO BALMES SL,340.97 EUR,Won,Proposal Accepted,2017-11-20 17:19:23,2017-11-20 09:08:58,,"PLAÇA FIGUERAS, 1 BAJOS, RUBI",661,Escoles,14110
COL·LEGI IGUALADA,"3,915.37 EUR",Won,Proposal Accepted,2017-07-18 09:16:22,2017-07-07 12:02:12,,"SANT JOSEP, 110-112, IGUALADA",662,Escoles,14110
